"startTime","framework","runNumber","caseNumber","factor","factorValue"
"cold_2","k8s","2","replica10","throughput",830.1240907145914
"warm_0","k8s","3","replica10","throughput",1007.617728531856
"cold_0","k8s","3","replica10","throughput",830.3609644742473
"warm_1","k8s","3","replica10","throughput",1066.5200659703135
"cold_1","k8s","3","replica10","throughput",869.9551569506727
"warm_2","k8s","3","replica10","throughput",623.6605229318474
"cold_2","k8s","3","replica10","throughput",740.3638213967689
"warm_0","k8s","4","replica10","throughput",1115.1561601839433
"cold_0","k8s","4","replica10","throughput",793.5642214344151
"warm_1","k8s","4","replica10","throughput",957.5518262586377
"cold_1","k8s","4","replica10","throughput",802.9801324503311
"warm_2","k8s","4","replica10","throughput",958.498023715415
"cold_2","k8s","4","replica10","throughput",630.6892067620287
"warm_0","k8s","5","replica10","throughput",905.6956115779645
"cold_0","k8s","5","replica10","throughput",812.2819260293091
"warm_1","k8s","5","replica10","throughput",1044.3208325856808
"cold_1","k8s","5","replica10","throughput",846.7917939764295
"warm_2","k8s","5","replica10","throughput",924.2496426869939
"cold_2","k8s","5","replica10","throughput",720.1187824795842
"warm_0","k8s","6","replica10","throughput",984.2719431760527
"cold_0","k8s","6","replica10","throughput",322.5571662521987
"warm_1","k8s","6","replica10","throughput",1213.511259382819
"cold_1","k8s","6","replica10","throughput",836.3270584854146
"warm_2","k8s","6","replica10","throughput",975.6915339480302
"cold_2","k8s","6","replica10","throughput",924.8371206102017
"warm_0","swarm","1","replica10","throughput",1325.4383967205647
"cold_0","swarm","1","replica10","throughput",1078.177102630604
"warm_1","swarm","1","replica10","throughput",1077.7777777777776
"cold_1","swarm","1","replica10","throughput",1476.033477047933
"warm_2","swarm","1","replica10","throughput",1449.5641344956414
"cold_2","swarm","1","replica10","throughput",1069.4597574421168
"warm_0","swarm","2","replica10","throughput",1155.9086395233367
"cold_0","swarm","2","replica10","throughput",1180.2879740417766
"warm_1","swarm","2","replica10","throughput",1205.967675093245
"cold_1","swarm","2","replica10","throughput",526.9829771821803
"warm_2","swarm","2","replica10","throughput",1019.2644483362521
"cold_2","swarm","2","replica10","throughput",468.4481648422408
"warm_0","swarm","3","replica10","throughput",972.9187562688064
"cold_0","swarm","3","replica10","throughput",935.8417752050168
"warm_1","swarm","3","replica10","throughput",1005.0077706786392
"cold_1","swarm","3","replica10","throughput",1479.0343074968234
"warm_2","swarm","3","replica10","throughput",1494.2233632862644
"cold_2","swarm","3","replica10","throughput",1043.7589670014347
"warm_0","swarm","4","replica10","throughput",1065.7388756637977
"cold_0","swarm","4","replica10","throughput",1090.0917774864206
"warm_1","swarm","4","replica10","throughput",1194.8265243276533
"cold_1","swarm","4","replica10","throughput",1090.909090909091
"warm_2","swarm","4","replica10","throughput",1221.918958639513
"cold_2","swarm","4","replica10","throughput",1064.3745427944405
"warm_0","swarm","5","replica10","throughput",1381.110583768391
"cold_0","swarm","5","replica10","throughput",1072.415699281371
"warm_1","swarm","5","replica10","throughput",1262.7467997396398
"cold_1","swarm","5","replica10","throughput",185.91060878499871
"warm_2","swarm","5","replica10","throughput",1112.810707456979
"cold_2","swarm","5","replica10","throughput",1516.8100078186085
"warm_0","swarm","6","replica10","throughput",1506.991196271362
"cold_0","swarm","6","replica10","throughput",1001.5487867836861
"warm_1","swarm","6","replica10","throughput",930.0095877277085
"cold_1","swarm","6","replica10","throughput",1091.7276308384917
"warm_2","swarm","6","replica10","throughput",1167.268351383875
"cold_2","swarm","6","replica10","throughput",1344.731977818854
"warm_0","k8s","1","replica10","errorPct",0.0
"cold_0","k8s","1","replica10","errorPct",0.0
"warm_1","k8s","1","replica10","errorPct",0.0
"cold_1","k8s","1","replica10","errorPct",0.0
"warm_2","k8s","1","replica10","errorPct",0.0
"cold_2","k8s","1","replica10","errorPct",0.0
"warm_0","k8s","2","replica10","errorPct",0.0
"cold_0","k8s","2","replica10","errorPct",0.0
"warm_1","k8s","2","replica10","errorPct",0.0
"cold_1","k8s","2","replica10","errorPct",0.0
"warm_2","k8s","2","replica10","errorPct",0.0
"cold_2","k8s","2","replica10","errorPct",0.0
"warm_0","k8s","3","replica10","errorPct",0.0
"cold_0","k8s","3","replica10","errorPct",0.0
"warm_1","k8s","3","replica10","errorPct",0.0
"cold_1","k8s","3","replica10","errorPct",0.0
"warm_2","k8s","3","replica10","errorPct",0.0
"cold_2","k8s","3","replica10","errorPct",0.0
"warm_0","k8s","4","replica10","errorPct",0.0
"cold_0","k8s","4","replica10","errorPct",0.0
"warm_1","k8s","4","replica10","errorPct",0.0
"cold_1","k8s","4","replica10","errorPct",0.0
"warm_2","k8s","4","replica10","errorPct",0.0
"cold_2","k8s","4","replica10","errorPct",0.0
"warm_0","k8s","5","replica10","errorPct",0.0
"cold_0","k8s","5","replica10","errorPct",0.0
"warm_1","k8s","5","replica10","errorPct",0.0
"cold_1","k8s","5","replica10","errorPct",0.0
"warm_2","k8s","5","replica10","errorPct",0.0
"cold_2","k8s","5","replica10","errorPct",0.0
"warm_0","k8s","6","replica10","errorPct",0.0
"cold_0","k8s","6","replica10","errorPct",8.625429
"warm_1","k8s","6","replica10","errorPct",0.0
"cold_1","k8s","6","replica10","errorPct",0.0
"warm_2","k8s","6","replica10","errorPct",0.0
"cold_2","k8s","6","replica10","errorPct",0.0
"warm_0","swarm","1","replica10","errorPct",0.0
"cold_0","swarm","1","replica10","errorPct",0.0
"warm_1","swarm","1","replica10","errorPct",0.0
"cold_1","swarm","1","replica10","errorPct",0.0
"warm_2","swarm","1","replica10","errorPct",0.0
"cold_2","swarm","1","replica10","errorPct",0.0
"warm_0","swarm","2","replica10","errorPct",0.0
"cold_0","swarm","2","replica10","errorPct",0.0
"warm_1","swarm","2","replica10","errorPct",0.0
"cold_1","swarm","2","replica10","errorPct",0.0
"warm_2","swarm","2","replica10","errorPct",0.0
"cold_2","swarm","2","replica10","errorPct",0.0
"warm_0","swarm","3","replica10","errorPct",0.0
"cold_0","swarm","3","replica10","errorPct",0.0
"warm_1","swarm","3","replica10","errorPct",0.0
"cold_1","swarm","3","replica10","errorPct",0.0
"warm_2","swarm","3","replica10","errorPct",0.0
"cold_2","swarm","3","replica10","errorPct",0.0
"warm_0","swarm","4","replica10","errorPct",0.0
"cold_0","swarm","4","replica10","errorPct",0.0
"warm_1","swarm","4","replica10","errorPct",0.0
"cold_1","swarm","4","replica10","errorPct",0.0
"warm_2","swarm","4","replica10","errorPct",0.0
"cold_2","swarm","4","replica10","errorPct",0.0
"warm_0","swarm","5","replica10","errorPct",0.0
"cold_0","swarm","5","replica10","errorPct",0.0
"warm_1","swarm","5","replica10","errorPct",0.0
"cold_1","swarm","5","replica10","errorPct",0.5154639
"warm_2","swarm","5","replica10","errorPct",0.0
"cold_2","swarm","5","replica10","errorPct",0.0
"warm_0","swarm","6","replica10","errorPct",0.0
"cold_0","swarm","6","replica10","errorPct",0.0
"warm_1","swarm","6","replica10","errorPct",0.0
"cold_1","swarm","6","replica10","errorPct",0.0
"warm_2","swarm","6","replica10","errorPct",0.0
"cold_2","swarm","6","replica10","errorPct",0.0
"warm_0","k8s","1","replica20","resTime",12.0
"cold_0","k8s","1","replica20","resTime",10.0
"warm_1","k8s","1","replica20","resTime",11.0
"cold_1","k8s","1","replica20","resTime",9.0
"warm_2","k8s","1","replica20","resTime",10.0
"cold_2","k8s","1","replica20","resTime",11.0
"warm_0","k8s","2","replica20","resTime",11.0
"cold_0","k8s","2","replica20","resTime",9
"warm_1","k8s","2","replica20","resTime",10.0
"cold_1","k8s","2","replica20","resTime",8.0
"warm_2","k8s","2","replica20","resTime",10.0
"cold_2","k8s","2","replica20","resTime",9.0
"warm_0","k8s","3","replica20","resTime",11.0
"cold_0","k8s","3","replica20","resTime",8.0
"warm_1","k8s","3","replica20","resTime",10.0
"cold_1","k8s","3","replica20","resTime",9.0
"warm_2","k8s","3","replica20","resTime",11.0
"cold_2","k8s","3","replica20","resTime",9.0
"warm_0","k8s","4","replica20","resTime",10.0
"cold_0","k8s","4","replica20","resTime",8.0
"warm_1","k8s","4","replica20","resTime",10.0
"cold_1","k8s","4","replica20","resTime",8.0
"warm_2","k8s","4","replica20","resTime",11.0
"cold_2","k8s","4","replica20","resTime",8.0
"warm_0","k8s","5","replica20","resTime",10.0
"cold_0","k8s","5","replica20","resTime",9.0
"warm_1","k8s","5","replica20","resTime",12.0
"cold_1","k8s","5","replica20","resTime",8.0
"warm_2","k8s","5","replica20","resTime",10.0
"cold_2","k8s","5","replica20","resTime",8.0
"warm_0","k8s","6","replica20","resTime",10.0
"cold_0","k8s","6","replica20","resTime",8.0
"warm_1","k8s","6","replica20","resTime",9.0
"cold_1","k8s","6","replica20","resTime",9.0
"warm_2","k8s","6","replica20","resTime",10.0
"cold_2","k8s","6","replica20","resTime",10.0
"warm_0","swarm","1","replica20","resTime",11.0
"cold_0","swarm","1","replica20","resTime",15
"warm_1","swarm","1","replica20","resTime",13.0
"cold_1","swarm","1","replica20","resTime",13.0
"warm_2","swarm","1","replica20","resTime",12.0
"cold_2","swarm","1","replica20","resTime",14.0
"warm_0","swarm","2","replica20","resTime",11.0
"cold_0","swarm","2","replica20","resTime",11.0
"warm_1","swarm","2","replica20","resTime",10.0
"cold_1","swarm","2","replica20","resTime",11.0
"warm_2","swarm","2","replica20","resTime",10.0
"cold_2","swarm","2","replica20","resTime",14.0
"warm_0","swarm","3","replica20","resTime",12.0
"cold_0","swarm","3","replica20","resTime",14.0
"warm_1","swarm","3","replica20","resTime",11.0
"cold_1","swarm","3","replica20","resTime",9.0
"warm_2","swarm","3","replica20","resTime",8.0
"cold_2","swarm","3","replica20","resTime",10.0
"warm_0","swarm","4","replica20","resTime",10.0
"cold_0","swarm","4","replica20","resTime",14.0
"warm_1","swarm","4","replica20","resTime",12.0
"cold_1","swarm","4","replica20","resTime",14.0
"warm_2","swarm","4","replica20","resTime",13.0
"cold_2","swarm","4","replica20","resTime",15.0
"warm_0","swarm","5","replica20","resTime",13.0
"cold_0","swarm","5","replica20","resTime",12.0
"warm_1","swarm","5","replica20","resTime",11.0
"cold_1","swarm","5","replica20","resTime",13
"warm_2","swarm","5","replica20","resTime",11.0
"cold_2","swarm","5","replica20","resTime",11.0
"warm_0","swarm","6","replica20","resTime",10.0
"cold_0","swarm","6","replica20","resTime",12.0
"warm_1","swarm","6","replica20","resTime",11.0
"cold_1","swarm","6","replica20","resTime",11.0
"warm_2","swarm","6","replica20","resTime",10.0
"cold_2","swarm","6","replica20","resTime",14.0
"warm_0","k8s","1","replica20","throughput",1001.3764624913971
"cold_0","k8s","1","replica20","throughput",795.6254272043745
"warm_1","k8s","1","replica20","throughput",1082.3879486702622
"cold_1","k8s","1","replica20","throughput",812.2819260293091
"warm_2","k8s","1","replica20","throughput",1095.8388250800226
"cold_2","k8s","1","replica20","throughput",680.0795414668382
"warm_0","k8s","2","replica20","throughput",1096.6647823629169
"cold_0","k8s","2","replica20","throughput",840.1674848397344
"warm_1","k8s","2","replica20","throughput",1149.7431845120504
"cold_1","k8s","2","replica20","throughput",849.7590889180902
"warm_2","k8s","2","replica20","throughput",1142.7449440408404
"cold_2","k8s","2","replica20","throughput",812.2819260293091
"warm_0","k8s","3","replica20","throughput",971.4571857786681
"cold_0","k8s","3","replica20","throughput",746.8240728859232
"warm_1","k8s","3","replica20","throughput",972.4310776942356
"cold_1","k8s","3","replica20","throughput",792.3757658270932
"warm_2","k8s","3","replica20","throughput",986.6078996440075
"cold_2","k8s","3","replica20","throughput",811.2628937831056
"warm_0","k8s","4","replica20","throughput",1023.0268940059765
"cold_0","k8s","4","replica20","throughput",932.0948110185778
"warm_1","k8s","4","replica20","throughput",1009.1902202184845
"cold_1","k8s","4","replica20","throughput",674.0011580775912
"warm_2","k8s","4","replica20","throughput",964.2147117296223
"cold_2","k8s","4","replica20","throughput",940.3780901599612
"warm_0","k8s","5","replica20","throughput",1326.9493844049248
"cold_0","k8s","5","replica20","throughput",794.2139737991266
"warm_1","k8s","5","replica20","throughput",982.6101637683606
"cold_1","k8s","5","replica20","throughput",824.8299319727892
"warm_2","k8s","5","replica20","throughput",956.4502875924404
"cold_2","k8s","5","replica20","throughput",812.8491620111731
"warm_0","k8s","6","replica20","throughput",1069.6563131777248
"cold_0","k8s","6","replica20","throughput",845.9302325581396
"warm_1","k8s","6","replica20","throughput",1170.555108608206
"cold_1","k8s","6","replica20","throughput",848.0256447617661
