"startTime","framework","runNumber","caseNumber","factor","factorValue"
"warm_2","k8s","4","replica10","errorPct",0.0
"cold_2","k8s","4","replica10","errorPct",0.017143836
"warm_0","k8s","5","replica10","errorPct",0.0
"cold_0","k8s","5","replica10","errorPct",0.0
"warm_1","k8s","5","replica10","errorPct",0.0
"cold_1","k8s","5","replica10","errorPct",0.017143836
"warm_2","k8s","5","replica10","errorPct",0.0
"cold_2","k8s","5","replica10","errorPct",0.0
"warm_0","k8s","6","replica10","errorPct",0.0
"cold_0","k8s","6","replica10","errorPct",0.0
"warm_1","k8s","6","replica10","errorPct",0.0
"cold_1","k8s","6","replica10","errorPct",0.0
"warm_2","k8s","6","replica10","errorPct",0.0
"cold_2","k8s","6","replica10","errorPct",0.0
"warm_0","swarm","1","replica10","errorPct",0.0
"cold_0","swarm","1","replica10","errorPct",0.0
"warm_1","swarm","1","replica10","errorPct",0.0
"cold_1","swarm","1","replica10","errorPct",0.0
"warm_2","swarm","1","replica10","errorPct",0.0
"cold_2","swarm","1","replica10","errorPct",0.0
"warm_0","swarm","2","replica10","errorPct",0.0
"cold_0","swarm","2","replica10","errorPct",0.0
"warm_1","swarm","2","replica10","errorPct",0.0
"cold_1","swarm","2","replica10","errorPct",0.0
"warm_2","swarm","2","replica10","errorPct",0.0
"cold_2","swarm","2","replica10","errorPct",0.0
"warm_0","swarm","3","replica10","errorPct",0.0
"cold_0","swarm","3","replica10","errorPct",0.0
"warm_1","swarm","3","replica10","errorPct",0.0
"cold_1","swarm","3","replica10","errorPct",0.0
"warm_2","swarm","3","replica10","errorPct",0.0
"cold_2","swarm","3","replica10","errorPct",0.0
"warm_0","swarm","4","replica10","errorPct",0.0
"cold_0","swarm","4","replica10","errorPct",0.0
"warm_1","swarm","4","replica10","errorPct",0.0
"cold_1","swarm","4","replica10","errorPct",0.0
"warm_2","swarm","4","replica10","errorPct",0.0
"cold_2","swarm","4","replica10","errorPct",0.0
"warm_0","swarm","5","replica10","errorPct",0.0
"cold_0","swarm","5","replica10","errorPct",0.0
"warm_1","swarm","5","replica10","errorPct",0.0
"cold_1","swarm","5","replica10","errorPct",0.0
"warm_2","swarm","5","replica10","errorPct",0.0
"cold_2","swarm","5","replica10","errorPct",0.0
"warm_0","swarm","6","replica10","errorPct",0.0
"cold_0","swarm","6","replica10","errorPct",0.15429454
"warm_1","swarm","6","replica10","errorPct",0.0
"cold_1","swarm","6","replica10","errorPct",0.13715069
"warm_2","swarm","6","replica10","errorPct",0.0
"cold_2","swarm","6","replica10","errorPct",0.0
"warm_0","k8s","1","replica20","resTime",3
"cold_0","k8s","1","replica20","resTime",3
"warm_1","k8s","1","replica20","resTime",3
"cold_1","k8s","1","replica20","resTime",3
"warm_2","k8s","1","replica20","resTime",3
"cold_2","k8s","1","replica20","resTime",3
"warm_0","k8s","2","replica20","resTime",3
"cold_0","k8s","2","replica20","resTime",3.0
"warm_1","k8s","2","replica20","resTime",3
"cold_1","k8s","2","replica20","resTime",3
"warm_2","k8s","2","replica20","resTime",2
"cold_2","k8s","2","replica20","resTime",3
"warm_0","k8s","3","replica20","resTime",3
"cold_0","k8s","3","replica20","resTime",3
"warm_1","k8s","3","replica20","resTime",3
"cold_1","k8s","3","replica20","resTime",3.0
"warm_2","k8s","3","replica20","resTime",3
"cold_2","k8s","3","replica20","resTime",3
"warm_0","k8s","4","replica20","resTime",3
"cold_0","k8s","4","replica20","resTime",3
"warm_1","k8s","4","replica20","resTime",3
"cold_1","k8s","4","replica20","resTime",3
"warm_2","k8s","4","replica20","resTime",3
"cold_2","k8s","4","replica20","resTime",3
"warm_0","k8s","5","replica20","resTime",3
"cold_0","k8s","5","replica20","resTime",3
"warm_1","k8s","5","replica20","resTime",3
"cold_1","k8s","5","replica20","resTime",3
"warm_2","k8s","5","replica20","resTime",3
"cold_2","k8s","5","replica20","resTime",3
"warm_0","k8s","6","replica20","resTime",3
"cold_0","k8s","6","replica20","resTime",3.0
"warm_1","k8s","6","replica20","resTime",3
